codigo_pre,tipsum,codigo_med,fecha_carga,precio_adq,precio_ope,stk_,fv_,valid_tipsum,periodo
05617F01,S,44922,2021-10-01 01:58:20.417,31.250000,39.062500,1,2023-04-07 00:00:00.000,1,20210930
05617F01,S,43815,2021-10-01 01:58:37.327,16.500000,20.625000,352,2025-02-28 00:00:00.000,1,20210930
05617F01,S,41137,2021-10-01 01:58:20.930,305.160000,381.450000,2,2025-06-25 00:00:00.000,1,20210930
05617F01,S,38592,2021-10-01 01:58:37.077,54.000000,67.500000,325,2023-01-30 00:00:00.000,1,20210930
05617F01,S,36430,2021-10-01 01:58:15.197,3.980000,4.975000,0,2022-01-27 00:00:00.000,1,20210930
05617F01,S,36217,2021-10-01 01:58:18.073,9.000000,11.250000,0,2021-10-31 00:00:00.000,1,20210930
05617F01,S,35544,2021-10-01 01:58:09.807,8.000000,10.000000,0,2023-05-31 00:00:00.000,1,20210930
05617F01,S,34834,2021-10-01 01:58:12.493,1.450000,1.812500,0,2021-10-31 00:00:00.000,1,20210930
05617F01,S,34719,2021-10-01 01:58:17.213,200.000000,250.000000,0,2026-07-27 00:00:00.000,1,20210930
05617F01,S,34524,2021-10-01 01:58:23.573,21.600000,27.000000,4,2021-10-26 00:00:00.000,1,20210930
05617F01,S,33172,2021-10-01 01:58:21.590,9.000000,11.250000,1,2021-10-31 00:00:00.000,1,20210930
05617F01,S,33102,2021-10-01 01:58:18.057,1650.000000,2062.500000,0,2022-02-25 00:00:00.000,1,20210930
05617F01,S,32601,2021-10-01 01:58:53.327,0.950000,1.187500,11250,2022-10-30 00:00:00.000,1,20210930
05617F01,S,31593,2021-10-01 01:58:36.967,52.900000,66.125000,313,2023-09-30 00:00:00.000,1,20210930
05617F01,S,31592,2021-10-01 01:58:31.670,45.000000,56.250000,199,2023-09-30 00:00:00.000,1,20210930
05617F01,S,30978,2021-10-01 01:58:44.607,56.935700,71.169700,1189,2021-12-30 00:00:00.000,1,20210930
05617F01,S,30923,2021-10-01 01:58:12.540,2.000000,2.500000,0,2022-07-31 00:00:00.000,1,20210930
05617F01,S,30641,2021-10-01 01:58:16.917,959.000000,1198.750000,0,2025-12-22 00:00:00.000,1,20210930
05617F01,S,30367,2021-10-01 01:58:20.010,130.000000,162.500000,1,2023-02-28 00:00:00.000,1,20210930
05617F01,S,29804,2021-10-01 01:58:18.493,70.000000,87.500000,0,2023-06-30 00:00:00.000,1,20210930
05617F01,S,29376,2021-10-01 01:58:26.450,3.500000,4.375000,15,2023-09-01 00:00:00.000,1,20210930
05617F01,S,28776,2021-10-01 01:58:17.480,161.576700,201.970800,0,2021-05-06 00:00:00.000,1,20210930
05617F01,S,28775,2021-10-01 01:58:28.403,11.000000,13.750000,77,2024-01-31 00:00:00.000,1,20210930
05617F01,S,26391,2021-10-01 01:58:21.980,2500.000000,3125.000000,2,2023-10-30 00:00:00.000,1,20210930
05617F01,S,26234,2021-10-01 01:58:19.103,2.984800,3.731000,0,2022-05-05 00:00:00.000,1,20210930
05617F01,S,25220,2021-10-01 01:58:27.420,18.000000,22.500000,37,2022-02-28 00:00:00.000,1,20210930
05617F01,S,24632,2021-10-01 01:58:22.040,1800.000000,2250.000000,2,2021-12-30 00:00:00.000,1,20210930
05617F01,S,24596,2021-10-01 01:58:27.577,293.310000,366.637500,40,2022-02-04 00:00:00.000,1,20210930
05617F01,S,02884,2021-10-01 01:58:52.467,0.190000,0.237500,7232,2021-12-01 00:00:00.000,1,20210930
05617F01,S,01958,2021-10-01 01:58:54.360,0.843000,1.053700,20845,2021-10-31 00:00:00.000,1,20210930
05617F01,S,01260,2021-10-01 01:58:47.717,6.500000,8.125000,1716,2023-07-31 00:00:00.000,1,20210930
05617F01,S,00356,2021-10-01 01:58:52.967,0.126000,0.157500,8852,2022-10-30 00:00:00.000,1,20210930
04317F01,S,44210,2021-10-01 02:30:48.073,35.000000,48.700000,23,2024-05-30 00:00:00.000,1,20210930
04317F01,S,42861,2021-10-01 02:42:20.850,1.190000,2422.689300,0,2022-01-31 00:00:00.000,1,20210930
04317F01,S,41636,2021-10-01 02:42:15.113,31.456800,39.300000,89,2030-01-02 00:00:00.000,1,20210930
04317F01,S,38178,2021-10-01 02:41:55.770,4000.000000,5000.000000,0,2024-06-30 00:00:00.000,1,20210930
04317F01,S,37541,2021-10-01 02:41:53.893,10.000000,12.500000,0,2023-04-30 00:00:00.000,1,20210930
04317F01,S,37261,2021-10-01 02:41:52.317,45.000000,56.200000,0,2029-03-31 00:00:00.000,1,20210930
04317F01,S,36659,2021-10-01 02:41:49.080,0.000000,46.000000,59,2022-10-30 00:00:00.000,1,20210930
04317F01,S,35153,2021-10-01 02:41:36.910,0.000000,22.500000,0,2023-09-30 00:00:00.000,1,20210930
04317F01,S,35019,2021-10-01 02:41:35.143,0.000000,16.403100,0,2021-12-01 00:00:00.000,1,20210930
04317F01,S,33148,2021-10-01 02:41:25.923,0.000000,812.500000,1,2022-01-31 00:00:00.000,1,20210930
04317F01,S,32872,2021-10-01 02:41:24.393,0.000000,12.500000,23,2021-12-29 00:00:00.000,1,20210930
04317F01,S,30958,2021-10-01 02:41:13.237,1800.000000,2250.000000,0,2025-02-28 00:00:00.000,1,20210930
04317F01,S,30585,2021-10-01 02:41:05.313,0.000000,1.118200,2310,2022-01-31 00:00:00.000,1,20210930
04317F01,S,29633,2021-10-01 02:40:51.890,68.000000,85.000000,26,2021-11-24 00:00:00.000,1,20210930
04317F01,S,29020,2021-10-01 02:40:49.297,0.000000,0.084500,2,2022-01-31 00:00:00.000,1,20210930
